ACTO,CONVOCATORIA,DEPTO,CIRCUITO,SERIES,ESCRUTINIO,HOJA,CNT_VOTOS
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,803,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,804,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,805,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,807,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,808,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,810,CMG,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,813,CMG,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,814,CMG,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,815,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,817,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,820,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,821,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,824,CMG,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,826,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,829,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,830,CMG,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,831,CMG,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,832,CMG,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,835,CMH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,836,CMH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,838,CMH,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,843,CMH,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,847,CMH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,848,CMH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,849,CMH,Departamental,1326,3
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,850,CMH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,852,CMH,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,860,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,861,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,863,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,864,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,869,CMI,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,881,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,882,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,884,CMI,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,886,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,887,CMI,Departamental,1326,2
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,889,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,898,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,899,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,900,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,907,CMI,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,910,CMJ,Departamental,969,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,914,CMJ,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,915,CMJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,916,CMJ,Departamental,1326,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,917,CMJ,Departamental,11917,1
2024-06-30,Asamblea_Popular_-_O.D.D.,Canelones,923,CMJ,Departamental,11917,1
